DEF------->,probeCountTime-4_10,probeCountTime-3_10,weighted mean
periodicDecept-5_35,-399.89996666666644,261.56799166666707,-130.03541237319902
periodicMax-15,-133.19999999999987,118.20790000000001,-30.631039516555084
purePeriodicDecept-5_13,-399.9109999999998,-17.655000000000026,-243.9588578494959
periodicMax-11,-181.7999999999999,162.68268333333378,-41.25855029198456
purePeriodic-17,-117.60000000000012,144.99200000000005,-10.46816973027206
purePeriodic-15,-133.19999999999987,159.26649999999998,-13.8800228583452
purePeriodic-11,-181.7999999999999,188.54216666666704,-30.708442979768208
periodicDecept-5_27,-399.9010333333331,198.48756666666674,-155.77148662002827
purePeriodicDecept-20_27,-99.80000000000011,134.7256666666666,-4.118623890948264
periodicDecept-0.1_5,-841.6992499999997,-1300.6546341666733,-1028.9430743279377
periodicMax-20,-99.80000000000011,87.0583,-23.56587375057162
periodicDecept-17_13,-117.60000000000012,114.0178666666667,-23.10494310881593
purePeriodicDecept-20_35,-99.80000000000011,133.77033333333327,-4.508379132987926
periodicDecept-11_13,-181.7999999999999,127.73475833333349,-55.51654432599632
periodicMax-4,-499.9010833333328,455.15633333333056,-110.25840929841218
purePeriodicDecept-11_27,-181.7999999999999,168.9385000000003,-38.70631302149707
periodic-7,-285.60000000000025,262.3824083333353,-62.03508423575883
periodic-4,-499.90053333333293,454.31014999999695,-110.60330810016714
purePeriodicMax-20,-99.80000000000011,88.59733333333327,-22.93798159145743
,,
ATT------->,periodic-20,periodic-0.1,purePeriodic-0.5,weighted mean
probeCountTime-4_10,8905.652249999996,898.0822725100306,2383.8528333347003,6721.437434170653
periodic-23,8887.581600000003,-580.4863424991607,-468.3429166666002,6243.310740267894
probeCountTime-4_100,8498.405499999999,-564.2684333328597,-124.39008333366044,5979.825392698261
purePeriodicRand-23,8363.480499999989,-580.5028166658277,-468.30483333326686,5865.812434862402
probeCountTime-4_50,8951.377333333334,-408.2632999974141,426.6981666667213,6364.544303385147
probeCountTime-3_250,7579.344383333331,-547.5242533326966,-285.212750000167,5315.875245612932
periodicRand-23,8682.129999999994,-580.5405499991612,-468.57749999993354,6095.3076223890985
purePeriodicRand-67,6234.5943333333225,-198.56236666647385,-156.76158333333203,4436.632782695996
probeCountTime-2_100,9023.815791666657,233.22504167565316,1054.5704166677833,6595.650875218325
probeCountTime-4_150,7938.646333333333,-518.7674666659175,-238.12091666680163,5583.402324756752
periodicRand-67,7625.277833333324,-198.51496666647378,-156.8369166666654,5438.312874792141
periodic-67,8013.678666666658,-198.5020499998071,-156.86074999999875,5718.069647974225
purePeriodic-15,8547.807500000008,-891.4822166653737,-722.0245833334008,5913.736141868008
probeCountTime-4_200,7297.551333333334,-450.968999999168,-255.46658333338576,5137.410991081524
periodic-46,8820.004999999996,-289.6645833329968,-230.9167499999831,6273.985437461335
probeCountTime-2_200,8660.853474999998,-326.70018666265173,275.49175000012514,6169.373781088225
purePeriodicRand-57,6886.368999999995,-233.35194999976332,-185.34324999999285,4896.5895379404155
periodicRand-46,8433.00799999999,-289.61471666632985,-231.08433333331652,5995.247836158908
probeCountTime-4_250,6701.159833333334,-390.3451833324849,-237.63249999999607,4723.199837356695
purePeriodic-31,6791.4168333332955,-430.326983332749,-346.03149999995907,4774.459654687905
purePeriodic-3,2997.146499999999,1593.3113500072538,2840.904166666862,2651.243883128543
purePeriodic-75,1521.4333333333318,-177.01669999982673,-139.3051666666691,1047.7448757990735
periodicRand-15,8357.917500000009,-891.4481333320404,-721.6053333334011,5776.987527316771
probeCountTime-3_100,8786.836641666663,-476.1725008313201,154.9150833333249,6219.388214943892
probeCountTime-3_150,8408.388033333338,-578.2277599996315,-131.81491666703033,5911.328522304441
periodicRand-3,3697.330449999997,1544.1475683435447,3115.5368333340234,3153.9581555284967
purePeriodic-7,6976.89,-1472.602100001631,489.05125000016784,4686.904500853846
probeCountTime-3_300,7177.003933333334,-508.3761608326211,-303.8200000001011,5034.86517770149
probeCountTime-2_300,8245.513666666666,-526.6436966650488,-76.03975000009613,5808.601199868938
